originalLocation,position,x,y,z
H-04-21,"616, 688, 2",616,688,2
H-04-22,"600, 688, 2",600,688,2
H-04-23,"584, 688, 2",584,688,2
H-04-30,"600, 688, 3",600,688,3
H-04-40,"600, 688, 4",600,688,4
H-06-11,"566, 688, 1",566,688,1
H-06-12,"550, 688, 1",550,688,1
H-06-13,"534, 688, 1",534,688,1
H-06-21,"566, 688, 2",566,688,2
H-06-22,"550, 688, 2",550,688,2
H-06-23,"534, 688, 2",534,688,2
H-06-30,"550, 688, 3",550,688,3
H-06-40,"550, 688, 4",550,688,4
H-08-11,"516, 688, 1",516,688,1
H-08-12,"500, 688, 1",500,688,1
H-08-13,"484, 688, 1",484,688,1
H-08-21,"516, 688, 2",516,688,2
H-08-22,"500, 688, 2",500,688,2
H-08-23,"484, 688, 2",484,688,2
H-08-30,"500, 688, 3",500,688,3
H-08-40,"500, 688, 4",500,688,4
H-10-11,"466, 688, 1",466,688,1
H-10-12,"450, 688, 1",450,688,1
H-10-13,"434, 688, 1",434,688,1
H-10-21,"466, 688, 2",466,688,2
H-10-22,"450, 688, 2",450,688,2
H-10-23,"434, 688, 2",434,688,2
H-10-30,"450, 688, 3",450,688,3
H-10-40,"450, 688, 4",450,688,4
H-14-11,"368, 540, 1",368,540,1
H-14-12,"352, 540, 1",352,540,1
H-14-13,"336, 540, 1",336,540,1
H-14-21,"368, 540, 2",368,540,2
H-14-22,"352, 540, 2",352,540,2
H-14-23,"336, 540, 2",336,540,2
H-14-30,"352, 540, 3",352,540,3
H-14-40,"352, 540, 4",352,540,4
H-16-11,"318, 540, 1",318,540,1
H-16-12,"302, 540, 1",302,540,1
H-16-13,"286, 540, 1",286,540,1
H-16-21,"318, 540, 2",318,540,2
H-16-22,"302, 540, 2",302,540,2
H-16-23,"286, 540, 2",286,540,2
H-16-30,"302, 540, 3",302,540,3
H-16-40,"302, 540, 4",302,540,4
H-18-11,"268, 540, 1",268,540,1
H-18-12,"252, 540, 1",252,540,1
H-18-13,"236, 540, 1",236,540,1
H-18-21,"268, 540, 2",268,540,2
H-18-22,"252, 540, 2",252,540,2
H-18-23,"236, 540, 2",236,540,2
H-18-30,"252, 540, 3",252,540,3
H-18-40,"252, 540, 4",252,540,4
H-20-11,"218, 540, 1",218,540,1
H-20-12,"202, 540, 1",202,540,1
H-20-13,"186, 540, 1",186,540,1
H-20-21,"218, 540, 2",218,540,2
H-20-22,"202, 540, 2",202,540,2
H-20-23,"186, 540, 2",186,540,2
H-20-30,"202, 540, 3",202,540,3
H-20-40,"202, 540, 4",202,540,4
H-22-11,"168, 540, 1",168,540,1
H-22-12,"152, 540, 1",152,540,1
H-22-13,"136, 540, 1",136,540,1
H-22-21,"168, 540, 2",168,540,2
H-22-22,"152, 540, 2",152,540,2
H-22-23,"136, 540, 2",136,540,2
H-22-30,"152, 540, 3",152,540,3
H-22-40,"152, 540, 4",152,540,4
H-24-11,"118, 540, 1",118,540,1
H-24-12,"102, 540, 1",102,540,1
H-24-13,"86, 540, 1",86,540,1
H-24-21,"118, 540, 2",118,540,2
H-24-22,"102, 540, 2",102,540,2
H-24-23,"86, 540, 2",86,540,2
H-24-30,"102, 540, 3",102,540,3
H-24-40,"102, 540, 4",102,540,4
I-01-11,"666, 720, 1",666,720,1
I-01-12,"650, 720, 1",650,720,1
I-01-13,"634, 720, 1",634,720,1
I-01-21,"666, 720, 2",666,720,2
I-01-22,"650, 720, 2",650,720,2
I-01-23,"634, 720, 2",634,720,2
I-01-30,"650, 720, 3",650,720,3
I-01-40,"650, 720, 4",650,720,4
I-02-11,"666, 778, 1",666,778,1
I-02-12,"650, 778, 1",650,778,1
I-02-13,"634, 778, 1",634,778,1
I-02-21,"666, 778, 2",666,778,2
I-02-22,"650, 778, 2",650,778,2
I-02-23,"634, 778, 2",634,778,2
I-02-30,"650, 778, 3",650,778,3
I-02-40,"650, 778, 4",650,778,4
I-03-11,"616, 720, 1",616,720,1
I-03-12,"600, 720, 1",600,720,1
I-03-13,"584, 720, 1",584,720,1
I-03-21,"616, 720, 2",616,720,2
I-03-22,"600, 720, 2",600,720,2
I-03-23,"584, 720, 2",584,720,2
I-03-30,"600, 720, 3",600,720,3
I-03-40,"600, 720, 4",600,720,4
I-04-11,"616, 778, 1",616,778,1
I-04-12,"600, 778, 1",600,778,1
I-04-13,"584, 778, 1",584,778,1
I-04-21,"616, 778, 2",616,778,2
I-04-22,"600, 778, 2",600,778,2
I-04-23,"584, 778, 2",584,778,2
I-04-30,"600, 778, 3",600,778,3
I-04-40,"600, 778, 4",600,778,4
I-05-11,"566, 720, 1",566,720,1
I-05-12,"550, 720, 1",550,720,1
I-05-13,"534, 720, 1",534,720,1
I-05-21,"566, 720, 2",566,720,2
I-05-22,"550, 720, 2",550,720,2
I-05-23,"534, 720, 2",534,720,2
I-05-30,"550, 720, 3",550,720,3
I-05-40,"550, 720, 4",550,720,4
I-06-11,"566, 778, 1",566,778,1
I-06-12,"550, 778, 1",550,778,1
I-06-13,"534, 778, 1",534,778,1
I-06-21,"566, 778, 2",566,778,2
I-06-22,"550, 778, 2",550,778,2
I-06-23,"534, 778, 2",534,778,2
I-06-30,"550, 778, 3",550,778,3
I-06-40,"550, 778, 4",550,778,4
I-07-11,"516, 720, 1",516,720,1
I-07-12,"500, 720, 1",500,720,1
I-07-13,"484, 720, 1",484,720,1
I-07-21,"516, 720, 2",516,720,2
I-07-22,"500, 720, 2",500,720,2
I-07-23,"484, 720, 2",484,720,2
I-07-30,"500, 720, 3",500,720,3
I-07-40,"500, 720, 4",500,720,4
I-08-11,"516, 778, 1",516,778,1
I-08-12,"500, 778, 1",500,778,1
I-08-13,"484, 778, 1",484,778,1
I-08-21,"516, 778, 2",516,778,2
I-08-22,"500, 778, 2",500,778,2
I-08-23,"484, 778, 2",484,778,2
I-08-30,"500, 778, 3",500,778,3
I-08-40,"500, 778, 4",500,778,4
I-09-11,"466, 720, 1",466,720,1
I-09-12,"450, 720, 1",450,720,1
I-09-13,"434, 720, 1",434,720,1
I-09-21,"466, 720, 2",466,720,2
I-09-22,"450, 720, 2",450,720,2
I-09-23,"434, 720, 2",434,720,2
I-09-30,"450, 720, 3",450,720,3
I-09-40,"450, 720, 4",450,720,4
I-10-11,"466, 778, 1",466,778,1
I-10-12,"450, 778, 1",450,778,1
I-10-13,"434, 778, 1",434,778,1
I-10-21,"466, 778, 2",466,778,2
I-10-22,"450, 778, 2",450,778,2
I-10-23,"434, 778, 2",434,778,2
I-10-30,"450, 778, 3",450,778,3
I-10-40,"450, 778, 4",450,778,4
I-13-11,"368, 572, 1",368,572,1
I-13-12,"352, 572, 1",352,572,1
I-13-13,"336, 572, 1",336,572,1
I-13-21,"368, 572, 2",368,572,2
I-13-22,"352, 572, 2",352,572,2
I-13-23,"336, 572, 2",336,572,2
I-13-30,"352, 572, 3",352,572,3
I-13-40,"352, 572, 4",352,572,4
I-14-11,"368, 688, 1",368,688,1
I-14-12,"352, 688, 1",352,688,1
I-14-13,"336, 688, 1",336,688,1
I-14-21,"368, 688, 2",368,688,2
I-14-22,"352, 688, 2",352,688,2
I-14-23,"336, 688, 2",336,688,2
I-14-30,"352, 688, 3",352,688,3
I-14-40,"352, 688, 4",352,688,4
I-15-11,"318, 572, 1",318,572,1
I-15-12,"302, 572, 1",302,572,1
I-15-13,"286, 572, 1",286,572,1
I-15-21,"318, 572, 2",318,572,2
I-15-22,"302, 572, 2",302,572,2
I-15-23,"286, 572, 2",286,572,2
I-15-30,"302, 572, 3",302,572,3
I-15-40,"302, 572, 4",302,572,4
I-16-11,"318, 688, 1",318,688,1
I-16-12,"302, 688, 1",302,688,1
I-16-13,"286, 688, 1",286,688,1
I-16-21,"318, 688, 2",318,688,2
I-16-22,"302, 688, 2",302,688,2
I-16-23,"286, 688, 2",286,688,2
I-16-30,"302, 688, 3",302,688,3
I-16-40,"302, 688, 4",302,688,4
I-17-11,"268, 572, 1",268,572,1
I-17-12,"252, 572, 1",252,572,1
I-17-13,"236, 572, 1",236,572,1
I-17-21,"268, 572, 2",268,572,2
I-17-22,"252, 572, 2",252,572,2
I-17-23,"236, 572, 2",236,572,2
I-17-30,"252, 572, 3",252,572,3
I-17-40,"252, 572, 4",252,572,4
I-18-11,"268, 688, 1",268,688,1
I-18-12,"252, 688, 1",252,688,1
I-18-13,"236, 688, 1",236,688,1
I-18-21,"268, 688, 2",268,688,2
I-18-22,"252, 688, 2",252,688,2
I-18-23,"236, 688, 2",236,688,2
I-18-30,"252, 688, 3",252,688,3
I-18-40,"252, 688, 4",252,688,4
I-19-11,"218, 572, 1",218,572,1
I-19-12,"202, 572, 1",202,572,1
I-19-13,"186, 572, 1",186,572,1
I-19-21,"218, 572, 2",218,572,2
I-19-22,"202, 572, 2",202,572,2
I-19-23,"186, 572, 2",186,572,2
I-19-30,"202, 572, 3",202,572,3
I-19-40,"202, 572, 4",202,572,4
I-20-11,"218, 688, 1",218,688,1
I-20-12,"202, 688, 1",202,688,1
I-20-13,"186, 688, 1",186,688,1
I-20-21,"218, 688, 2",218,688,2
I-20-22,"202, 688, 2",202,688,2
I-20-23,"186, 688, 2",186,688,2
I-20-30,"202, 688, 3",202,688,3
I-20-40,"202, 688, 4",202,688,4
I-21-11,"168, 572, 1",168,572,1
I-21-12,"152, 572, 1",152,572,1
I-21-13,"136, 572, 1",136,572,1
I-21-21,"168, 572, 2",168,572,2
I-21-22,"152, 572, 2",152,572,2
I-21-23,"136, 572, 2",136,572,2
I-21-30,"152, 572, 3",152,572,3
I-21-40,"152, 572, 4",152,572,4
I-22-11,"168, 688, 1",168,688,1
I-22-12,"152, 688, 1",152,688,1
I-22-13,"136, 688, 1",136,688,1
I-22-21,"168, 688, 2",168,688,2
I-22-22,"152, 688, 2",152,688,2
I-22-23,"136, 688, 2",136,688,2
I-22-30,"152, 688, 3",152,688,3
I-22-40,"152, 688, 4",152,688,4
I-23-11,"118, 572, 1",118,572,1
I-23-12,"102, 572, 1",102,572,1
I-23-13,"86, 572, 1",86,572,1
I-23-21,"118, 572, 2",118,572,2
I-23-22,"102, 572, 2",102,572,2
I-23-23,"86, 572, 2",86,572,2
I-23-30,"102, 572, 3",102,572,3
I-23-40,"102, 572, 4",102,572,4
I-24-11,"118, 688, 1",118,688,1
I-24-12,"102, 688, 1",102,688,1
I-24-13,"86, 688, 1",86,688,1
I-24-21,"118, 688, 2",118,688,2
I-24-22,"102, 688, 2",102,688,2
I-24-23,"86, 688, 2",86,688,2
I-24-30,"102, 688, 3",102,688,3
I-24-40,"102, 688, 4",102,688,4
J-01-11,"666, 810, 1",666,810,1
J-01-12,"650, 810, 1",650,810,1
J-01-13,"634, 810, 1",634,810,1
J-01-21,"666, 810, 2",666,810,2
J-01-22,"650, 810, 2",650,810,2
J-01-23,"634, 810, 2",634,810,2
J-01-30,"650, 810, 3",650,810,3
J-01-40,"650, 810, 4",650,810,4
J-02-11,"666, 868, 1",666,868,1
J-02-12,"650, 868, 1",650,868,1
J-02-13,"634, 868, 1",634,868,1
J-02-21,"666, 868, 2",666,868,2
J-02-22,"650, 868, 2",650,868,2
J-02-23,"634, 868, 2",634,868,2
J-02-30,"650, 868, 3",650,868,3
J-02-40,"650, 868, 4",650,868,4
J-03-11,"616, 810, 1",616,810,1
J-03-12,"600, 810, 1",600,810,1
J-03-13,"584, 810, 1",584,810,1
J-03-21,"616, 810, 2",616,810,2
J-03-22,"600, 810, 2",600,810,2
J-03-23,"584, 810, 2",584,810,2
J-03-30,"600, 810, 3",600,810,3
J-03-40,"600, 810, 4",600,810,4
J-04-11,"616, 868, 1",616,868,1
J-04-12,"600, 868, 1",600,868,1
J-04-13,"584, 868, 1",584,868,1
J-04-21,"616, 868, 2",616,868,2
J-04-22,"600, 868, 2",600,868,2
J-04-23,"584, 868, 2",584,868,2
J-04-30,"600, 868, 3",600,868,3
J-04-40,"600, 868, 4",600,868,4
J-05-11,"566, 810, 1",566,810,1
J-05-12,"550, 810, 1",550,810,1
J-05-13,"534, 810, 1",534,810,1
J-05-21,"566, 810, 2",566,810,2
J-05-22,"550, 810, 2",550,810,2
J-05-23,"534, 810, 2",534,810,2
J-05-30,"550, 810, 3",550,810,3
J-05-40,"550, 810, 4",550,810,4
J-06-11,"566, 868, 1",566,868,1
J-06-12,"550, 868, 1",550,868,1
J-06-13,"534, 868, 1",534,868,1
J-06-21,"566, 868, 2",566,868,2
J-06-22,"550, 868, 2",550,868,2
J-06-23,"534, 868, 2",534,868,2
J-06-30,"550, 868, 3",550,868,3
J-06-40,"550, 868, 4",550,868,4
J-07-11,"516, 810, 1",516,810,1
J-07-12,"500, 810, 1",500,810,1
J-07-13,"484, 810, 1",484,810,1
J-07-21,"516, 810, 2",516,810,2
J-07-22,"500, 810, 2",500,810,2
J-07-23,"484, 810, 2",484,810,2
J-07-30,"500, 810, 3",500,810,3
J-07-40,"500, 810, 4",500,810,4
J-08-11,"516, 868, 1",516,868,1
J-08-12,"500, 868, 1",500,868,1
J-08-13,"484, 868, 1",484,868,1
J-08-21,"516, 868, 2",516,868,2
J-08-22,"500, 868, 2",500,868,2
J-08-23,"484, 868, 2",484,868,2
J-08-30,"500, 868, 3",500,868,3
J-08-40,"500, 868, 4",500,868,4
J-09-11,"466, 810, 1",466,810,1
J-09-12,"450, 810, 1",450,810,1
J-09-13,"434, 810, 1",434,810,1
J-09-21,"466, 810, 2",466,810,2
J-09-22,"450, 810, 2",450,810,2
J-09-23,"434, 810, 2",434,810,2
J-09-30,"450, 810, 3",450,810,3
J-09-40,"450, 810, 4",450,810,4
J-10-11,"466, 868, 1",466,868,1
J-10-12,"450, 868, 1",450,868,1
J-10-13,"434, 868, 1",434,868,1
J-10-21,"466, 868, 2",466,868,2
J-10-22,"450, 868, 2",450,868,2
J-10-23,"434, 868, 2",434,868,2
J-10-30,"450, 868, 3",450,868,3
J-10-40,"450, 868, 4",450,868,4
J-13-11,"368, 720, 1",368,720,1
J-13-12,"352, 720, 1",352,720,1
J-13-13,"336, 720, 1",336,720,1
J-13-21,"368, 720, 2",368,720,2
J-13-22,"352, 720, 2",352,720,2
J-13-23,"336, 720, 2",336,720,2
J-13-30,"352, 720, 3",352,720,3
J-13-40,"352, 720, 4",352,720,4
J-14-11,"368, 778, 1",368,778,1
J-14-12,"352, 778, 1",352,778,1
J-14-13,"336, 778, 1",336,778,1
J-14-21,"368, 778, 2",368,778,2
J-14-22,"352, 778, 2",352,778,2
J-14-23,"336, 778, 2",336,778,2
J-14-30,"352, 778, 3",352,778,3
J-14-40,"352, 778, 4",352,778,4
J-15-11,"318, 720, 1",318,720,1
J-15-12,"302, 720, 1",302,720,1
J-15-13,"286, 720, 1",286,720,1
J-15-21,"318, 720, 2",318,720,2
J-15-22,"302, 720, 2",302,720,2
J-15-23,"286, 720, 2",286,720,2
J-15-30,"302, 720, 3",302,720,3
J-15-40,"302, 720, 4",302,720,4
J-16-11,"318, 778, 1",318,778,1
J-16-12,"302, 778, 1",302,778,1
J-16-13,"286, 778, 1",286,778,1
J-16-21,"318, 778, 2",318,778,2
J-16-22,"302, 778, 2",302,778,2
J-16-23,"286, 778, 2",286,778,2
J-16-30,"302, 778, 3",302,778,3
J-16-40,"302, 778, 4",302,778,4
J-17-11,"268, 720, 1",268,720,1
J-17-12,"252, 720, 1",252,720,1
J-17-13,"236, 720, 1",236,720,1
J-17-21,"268, 720, 2",268,720,2
J-17-22,"252, 720, 2",252,720,2
J-17-23,"236, 720, 2",236,720,2
J-17-30,"252, 720, 3",252,720,3
J-17-40,"252, 720, 4",252,720,4
J-18-11,"268, 778, 1",268,778,1
J-18-12,"252, 778, 1",252,778,1
J-18-13,"236, 778, 1",236,778,1
J-18-21,"268, 778, 2",268,778,2
J-18-22,"252, 778, 2",252,778,2
J-18-23,"236, 778, 2",236,778,2
J-18-30,"252, 778, 3",252,778,3
J-18-40,"252, 778, 4",252,778,4
J-19-11,"218, 720, 1",218,720,1
J-19-12,"202, 720, 1",202,720,1
J-19-13,"186, 720, 1",186,720,1
J-19-21,"218, 720, 2",218,720,2
J-19-22,"202, 720, 2",202,720,2
J-19-23,"186, 720, 2",186,720,2
J-19-30,"202, 720, 3",202,720,3
J-19-40,"202, 720, 4",202,720,4
J-20-11,"218, 778, 1",218,778,1
J-20-12,"202, 778, 1",202,778,1
J-20-13,"186, 778, 1",186,778,1
J-20-21,"218, 778, 2",218,778,2
J-20-22,"202, 778, 2",202,778,2
J-20-23,"186, 778, 2",186,778,2
J-20-30,"202, 778, 3",202,778,3
J-20-40,"202, 778, 4",202,778,4
J-21-11,"168, 720, 1",168,720,1
J-21-12,"152, 720, 1",152,720,1
J-21-13,"136, 720, 1",136,720,1
J-21-21,"168, 720, 2",168,720,2
J-21-22,"152, 720, 2",152,720,2
J-21-23,"136, 720, 2",136,720,2
J-21-30,"152, 720, 3",152,720,3
J-21-40,"152, 720, 4",152,720,4
J-22-11,"168, 778, 1",168,778,1
J-22-12,"152, 778, 1",152,778,1
J-22-13,"136, 778, 1",136,778,1
J-22-21,"168, 778, 2",168,778,2
J-22-22,"152, 778, 2",152,778,2
J-22-23,"136, 778, 2",136,778,2
J-22-30,"152, 778, 3",152,778,3
J-22-40,"152, 778, 4",152,778,4
J-23-11,"118, 720, 1",118,720,1
J-23-12,"102, 720, 1",102,720,1
J-23-13,"86, 720, 1",86,720,1
J-23-21,"118, 720, 2",118,720,2
J-23-22,"102, 720, 2",102,720,2
J-23-23,"86, 720, 2",86,720,2
J-23-30,"102, 720, 3",102,720,3
J-23-40,"102, 720, 4",102,720,4
J-24-11,"118, 778, 1",118,778,1
J-24-12,"102, 778, 1",102,778,1
J-24-13,"86, 778, 1",86,778,1
J-24-21,"118, 778, 2",118,778,2
J-24-22,"102, 778, 2",102,778,2
J-24-23,"86, 778, 2",86,778,2
J-24-30,"102, 778, 3",102,778,3
J-24-40,"102, 778, 4",102,778,4
K-01-11,"666, 900, 1",666,900,1
K-01-12,"650, 900, 1",650,900,1
K-01-13,"634, 900, 1",634,900,1
K-01-21,"666, 900, 2",666,900,2
K-01-22,"650, 900, 2",650,900,2
K-01-23,"634, 900, 2",634,900,2
K-01-30,"650, 900, 3",650,900,3
K-01-40,"650, 900, 4",650,900,4
K-02-11,"666, 958, 1",666,958,1
K-02-12,"650, 958, 1",650,958,1
K-02-13,"634, 958, 1",634,958,1
K-02-21,"666, 958, 2",666,958,2
K-02-22,"650, 958, 2",650,958,2
K-02-23,"634, 958, 2",634,958,2
K-02-30,"650, 958, 3",650,958,3
K-02-40,"650, 958, 4",650,958,4
K-03-11,"616, 900, 1",616,900,1
K-03-12,"600, 900, 1",600,900,1
K-03-13,"584, 900, 1",584,900,1
K-03-21,"616, 900, 2",616,900,2
K-03-22,"600, 900, 2",600,900,2
K-03-23,"584, 900, 2",584,900,2
K-03-30,"600, 900, 3",600,900,3
K-03-40,"600, 900, 4",600,900,4
K-04-11,"616, 958, 1",616,958,1
K-04-12,"600, 958, 1",600,958,1
K-04-13,"584, 958, 1",584,958,1
K-04-21,"616, 958, 2",616,958,2
K-04-22,"600, 958, 2",600,958,2
K-04-23,"584, 958, 2",584,958,2
K-04-30,"600, 958, 3",600,958,3
K-04-40,"600, 958, 4",600,958,4
K-05-11,"566, 900, 1",566,900,1
K-05-12,"550, 900, 1",550,900,1
K-05-13,"534, 900, 1",534,900,1
K-05-21,"566, 900, 2",566,900,2
K-05-22,"550, 900, 2",550,900,2
K-05-23,"534, 900, 2",534,900,2
K-05-30,"550, 900, 3",550,900,3
K-05-40,"550, 900, 4",550,900,4
K-06-11,"566, 958, 1",566,958,1
K-06-12,"550, 958, 1",550,958,1
K-06-13,"534, 958, 1",534,958,1
K-06-21,"566, 958, 2",566,958,2
K-06-22,"550, 958, 2",550,958,2
K-06-23,"534, 958, 2",534,958,2
K-06-30,"550, 958, 3",550,958,3
K-06-40,"550, 958, 4",550,958,4
K-07-11,"516, 900, 1",516,900,1
K-07-12,"500, 900, 1",500,900,1
K-07-13,"484, 900, 1",484,900,1
K-07-21,"516, 900, 2",516,900,2
K-07-22,"500, 900, 2",500,900,2
K-07-23,"484, 900, 2",484,900,2
K-07-30,"500, 900, 3",500,900,3
K-07-40,"500, 900, 4",500,900,4
K-08-11,"516, 958, 1",516,958,1
K-08-12,"500, 958, 1",500,958,1
K-08-13,"484, 958, 1",484,958,1
K-08-21,"516, 958, 2",516,958,2
K-08-22,"500, 958, 2",500,958,2
K-08-23,"484, 958, 2",484,958,2
K-08-30,"500, 958, 3",500,958,3
K-08-40,"500, 958, 4",500,958,4
K-09-11,"466, 900, 1",466,900,1
K-09-12,"450, 900, 1",450,900,1
K-09-13,"434, 900, 1",434,900,1
K-09-21,"466, 900, 2",466,900,2
K-09-22,"450, 900, 2",450,900,2
K-09-23,"434, 900, 2",434,900,2
K-09-30,"450, 900, 3",450,900,3
K-09-40,"450, 900, 4",450,900,4
K-10-11,"466, 958, 1",466,958,1
K-10-12,"450, 958, 1",450,958,1
K-10-13,"434, 958, 1",434,958,1
K-10-21,"466, 958, 2",466,958,2
K-10-22,"450, 958, 2",450,958,2
K-10-23,"434, 958, 2",434,958,2
K-10-30,"450, 958, 3",450,958,3
K-10-40,"450, 958, 4",450,958,4
K-13-11,"368, 810, 1",368,810,1
K-13-12,"352, 810, 1",352,810,1
K-13-13,"336, 810, 1",336,810,1
K-13-21,"368, 810, 2",368,810,2
K-13-22,"352, 810, 2",352,810,2
K-13-23,"336, 810, 2",336,810,2
K-13-30,"352, 810, 3",352,810,3
K-13-40,"352, 810, 4",352,810,4
K-14-11,"368, 868, 1",368,868,1
K-14-12,"352, 868, 1",352,868,1
K-14-13,"336, 868, 1",336,868,1
K-14-21,"368, 868, 2",368,868,2
K-14-22,"352, 868, 2",352,868,2
K-14-23,"336, 868, 2",336,868,2
K-14-30,"352, 868, 3",352,868,3
K-14-40,"352, 868, 4",352,868,4
K-15-11,"318, 810, 1",318,810,1
K-15-12,"302, 810, 1",302,810,1
K-15-13,"286, 810, 1",286,810,1
K-15-21,"318, 810, 2",318,810,2
K-15-22,"302, 810, 2",302,810,2
K-15-23,"286, 810, 2",286,810,2
K-15-30,"302, 810, 3",302,810,3
K-15-40,"302, 810, 4",302,810,4
K-16-11,"318, 868, 1",318,868,1
K-16-12,"302, 868, 1",302,868,1
K-16-13,"286, 868, 1",286,868,1
K-16-21,"318, 868, 2",318,868,2
K-16-22,"302, 868, 2",302,868,2
K-16-23,"286, 868, 2",286,868,2
K-16-30,"302, 868, 3",302,868,3
K-16-40,"302, 868, 4",302,868,4
K-17-11,"268, 810, 1",268,810,1
K-17-12,"252, 810, 1",252,810,1
K-17-13,"236, 810, 1",236,810,1
K-17-21,"268, 810, 2",268,810,2
K-17-22,"252, 810, 2",252,810,2
K-17-23,"236, 810, 2",236,810,2
K-17-30,"252, 810, 3",252,810,3
K-17-40,"252, 810, 4",252,810,4
K-18-11,"268, 868, 1",268,868,1
K-18-12,"252, 868, 1",252,868,1
K-18-13,"236, 868, 1",236,868,1
K-18-21,"268, 868, 2",268,868,2
K-18-22,"252, 868, 2",252,868,2
K-18-23,"236, 868, 2",236,868,2
K-18-30,"252, 868, 3",252,868,3
K-18-40,"252, 868, 4",252,868,4
K-19-11,"218, 810, 1",218,810,1
K-19-12,"202, 810, 1",202,810,1
K-19-13,"186, 810, 1",186,810,1
K-19-21,"218, 810, 2",218,810,2
K-19-22,"202, 810, 2",202,810,2
K-19-23,"186, 810, 2",186,810,2
K-19-30,"202, 810, 3",202,810,3
K-19-40,"202, 810, 4",202,810,4
K-20-11,"218, 868, 1",218,868,1
K-20-12,"202, 868, 1",202,868,1
K-20-13,"186, 868, 1",186,868,1
K-20-21,"218, 868, 2",218,868,2
K-20-22,"202, 868, 2",202,868,2
K-20-23,"186, 868, 2",186,868,2
K-20-30,"202, 868, 3",202,868,3
K-20-40,"202, 868, 4",202,868,4
K-21-11,"168, 810, 1",168,810,1
K-21-12,"152, 810, 1",152,810,1
K-21-13,"136, 810, 1",136,810,1
K-21-21,"168, 810, 2",168,810,2
K-21-22,"152, 810, 2",152,810,2
K-21-23,"136, 810, 2",136,810,2
K-21-30,"152, 810, 3",152,810,3
K-21-40,"152, 810, 4",152,810,4
K-22-11,"168, 868, 1",168,868,1
K-22-12,"152, 868, 1",152,868,1
K-22-13,"136, 868, 1",136,868,1
